Close,High,Low,Open,Volume,target
190.29,192.14,189.34,190.3,39373038,0
201.5,201.76,197.31,199.13,67935716,1
207.39,208.38,200.35,200.58,62404012,1
207.99,208.74,205.48,207.03,33447396,0
209.07,209.25,207.07,208,25425387,0
207.11,209.5,206.76,209.32,25587387,0
207.25,207.81,204.52,206.05,22525487,0
208.88,209.78,207.2,207.28,23492626,0
207.53,209.1,206.67,207.36,24611202,0
208.87,210.95,207.7,207.7,25890880,0
209.75,210.56,208.26,210.16,20748010,0
210.24,210.74,208.33,209.22,28807564,0
213.32,213.81,211.47,211.75,28500367,0
217.58,217.95,213.16,213.44,35426997,0
215.46,219.18,215.11,218.1,30287695,0
215.04,217.19,214.03,216.8,26159755,0
215.05,216.36,213.84,214.1,19018131,0
215.49,217.05,214.6,214.65,18883224,0
216.16,216.9,215.11,216.6,18476356,0
217.94,218.74,216.33,217.15,20525117,0
219.7,220.54,218.92,219.01,22776766,0
222.98,223.49,219.41,220.15,27254804,0
225.03,228.26,222.4,223.25,48793824,1
227.63,228.87,226,226.51,43340134,0
228.36,229.18,226.63,228.41,27390132,0
226.87,229.67,225.1,228.99,33332960,0
223.1,227.35,221.3,226.23,34289976,0
221.3,225.37,220.71,221.85,37619810,0
218.33,221.85,216.47,220.95,39516453,0
223.85,224.3,216.56,218.01,35749049,0
221.07,225,219.84,224.94,49278740,1
226.41,228.35,222.57,223.52,41706377,0
223.84,226.84,222.52,225.75,31999289,0
217.88,222.95,217.27,222.15,37195133,0
218.24,221.85,217.12,217.79,31571712,0
218.37,219.62,215.3,218.5,27123833,0
220.03,222.28,219.15,220.24,26608794,0
217.66,221.36,217.29,220.78,96246748,1
220.79,221.26,216.63,216.82,27693358,0
222.19,222.82,219.7,219.75,24554379,0
220.42,223.75,219.76,221,23984706,0
224.95,226.44,223.54,223.82,30181227,0
225.74,225.84,224.02,224.79,22929364,0
227.26,229.42,226.35,227.95,23600802,0
229.28,230,226.63,227.25,24788170,0
232.07,233.47,229.78,230.05,28654799,0
227.99,232.35,226.73,230.78,32042000,0
224.29,228.41,220.58,227.96,33580463,0
223.77,224.8,220.2,222.21,29663923,0
226.87,227.27,222.25,223.64,26891029,0
216.36,226.35,216.05,225.46,41990554,0
214.45,219.5,212.32,214.52,53124392,1
222.11,222.88,216.84,220.42,40337851,0
217.36,221.83,217.27,221.16,30791007,0
222.15,222.99,216.76,218.93,29183963,0
221.19,222.64,219.34,222.3,22885397,0
216.02,219.74,213,217.86,32581315,0
219.31,221.26,217.43,218.06,33078726,0
220.65,223.36,218.94,219.79,28792082,0
222.73,223.25,214.7,215.83,38767846,0
215.09,224.23,214.54,222.6,40925163,0
219.8,221.38,216.75,217.71,29855768,0
216.3,220.19,212.67,215.9,47258375,1
212.24,219.69,206.09,219.19,45935520,1
213.3,215.18,209.27,211.15,36659990,0
218.86,220.45,216.62,216.88,38358933,0
222.22,222.36,216.81,219.05,58323180,1
207.48,213.65,205.43,209.55,91328654,1
201.59,204.39,198.17,204.3,66163669,1
203.77,204.72,201.69,201.92,31882881,0
209.95,210.06,204.13,205.97,33424434,0
208.49,210.12,206.75,209.98,25362636,0
204.47,206.01,202.25,205.55,34365750,0
194.17,199.85,193.79,199,51135518,1
192.23,197.18,191.45,191.63,46882936,1
186.8,194.48,185.93,193.9,60800957,1
191.41,191.97,186.9,188.39,46478801,1
193.53,194.97,189.46,190.5,36928253,0
185.86,190.7,184.99,190,41920872,0
176.98,181.47,175.51,178.37,67825247,1
176.78,180.27,176.55,179.73,31124210,0
172.29,176.595,172.1,174.94,23623972,0
174.62,174.95,170.26,174.24,44998520,0
174.24,174.77,170.88,171.51,41387377,0
180.94,181.29,174.93,176.73,46062539,1
179.55,182.8,177.7,182.66,41769992,0
178.58,180.33,177.03,180.29,39531549,0
184.82,184.94,181.21,184.46,40798002,0
176.69,182.39,176.27,180.95,41344282,0
174.72,174.78,170.42,171.76,43098410,0
168.49,174.49,168.3,173.49,42281631,0
169.6,170.09,163.33,165,62025994,1
168.63,171.79,167,171.66,47281665,1
169.1,171.92,169.02,170.4,35627674,0
170.95,172.57,169.55,170.49,31897827,0
165.48,169.08,165.28,169,40703710,0
163.94,168.35,162.73,165.45,44287922,0
166.07,167.53,164.39,165.38,33841518,0
160.89,167.45,159.09,166,49047297,1
156.83,162.11,155.3,160.4,64772960,1
150.73,158.16,149.63,156.86,95744384,1
146.83,151.55,146.59,148.15,37169232,0
157.17,157.23,146.72,148.3,58582544,1
156.15,156.77,150.07,155.84,53117065,1
156.23,158.52,154.55,157.5,42291424,0
157.74,159.36,156.48,158.53,35003466,0
157.92,158.85,154.23,154.89,37039737,0
142.19,145.72,142,143.98,91312195,1
148.26,148.55,143.8,144.53,58607070,1
147.93,148.83,145.9,148.7,54777764,1
150.75,151.82,148.52,149.56,41025314,0
153.31,154.53,149.63,151.29,45099081,0
153.8,153.97,150.86,152.5,35780670,0
152.29,153.7,151.51,152.88,27023241,0
150,151.27,149.22,150.85,32439186,0
153.07,153.39,150.05,150.27,28710324,0
